PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated
PSTW-1850,"""LLMoin"" pilot project to provide insight into Hamburg's medium-term LLM strategy",https://hamburg-business.com/en/news/hamburgs-local-government-testing-large-language-model,"Public administrations face growing demands for efficiency in text-heavy tasks such as summarising documents, drafting responses and conducting research. Hamburg’s local government launched the LLMoin pilot to explore how large language models could support administrative work while meeting strict data protection and organisational requirements. Around 100 employees across departments participate, with the objective of assessing acceptance, usefulness and governance needs. The pilot uses the Luminous language model developed and hosted in Germany by startup Aleph Alpha, with a custom front-end and data processing layer built specifically for Hamburg. The system supports tasks such as text summarisation, drafting and information retrieval, operating within controlled environments. Outputs are reviewed by users, ensuring human responsibility for decisions. Early results show productivity gains for participating staff and valuable insights into training needs, technical integration and ethical considerations. The pilot informs Hamburg’s medium-term strategy for language technologies in government, highlighting both efficiency potential and the importance of sovereign, transparent deployment models in the public sector.",Local,Germany,DE,City of Hamburg ,Local Government,General public services,R&D general public services.,Pilot,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://hamburg-business.com/en/news/hamburgs-local-government-testing-large-language-model,Learning,Machine learning,Generative AI,,,,,,Local-funded project,,,,,,,29/01/2026
PSTW-1851,Dublin City Council accelerates the potential of drones across Ireland,https://govlaunch.com/projects/dublin-city-council-ie-accelerates-the-potential-of-drones-across-ireland,"Local authorities increasingly recognise the potential of unmanned aerial vehicles to support public services, yet fragmented regulation, limited operational experience and lack of shared standards have slowed adoption. Dublin City Council (DCC), through its Smart Dublin programme, launched a coordinated initiative to explore how drones could be safely and effectively used across Ireland for civil defence, emergency response, public safety and environmental monitoring. Stakeholders include local and national government agencies, emergency services, regulators and technology providers. The objective is to build institutional knowledge, test real-world applications and inform policymaking through evidence rather than isolated trials. The programme establishes a cross-agency network to identify priority use cases, assess operational constraints and share best practices observed internationally. Drone deployments are tested in controlled pilots, integrating aerial data collection with existing emergency management and environmental monitoring systems. Outputs include geospatial imagery, situational awareness data and operational insights rather than standalone services. The initiative has accelerated learning across the public sector, reduced duplication of effort and positioned Ireland to adopt drones more strategically. Its impact lies in improved readiness for emergency scenarios, more efficient data collection and a clearer regulatory and governance framework for scaling drone use nationwide.",Local,Ireland,IE,Dublin City council,Local Government,Public order and safety,R&D public order and safety.,Pilot,2022,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.siliconrepublic.com/machines/dublin-drone-public-service-project-dcc,Integration and Interaction,Connected and Automated vehicles,,,,unmanned vehicle ,,,Local-funded project,,,,,,,29/01/2026
PSTW-1852,AI-powered “Gestore Emendamenti” (GEM) at the Italian Senate,https://www.ipu.org/innovation-tracker/story/how-ai-helps-italian-senate-manage-amendments,"The Italian Senate utilizes an AI system, “Gestore Emendamenti” (GEM), to manage amendments. The system employs text clustering algorithms to quickly identify groups of similarly worded amendments in order to schedule their simultaneous voting. While the system produces near-instant results, staff members review, approve, modify, and integrate the machine-generated analysis to ensure that no decisions are made without human oversight.",National,Italy,IT,Italian Senate,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2022,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,x,,,,,,,https://static1.squarespace.com/static/60450e1de0fb2a6f5771b1be/t/659d49c8c62d136f72890838/1704806866772/Representative_Bodies_in_the_AI_Era_Vol_1.pdf,Reasoning,Machine learning,Automated reasoning,,,text classification,Other PAs,,National-funded project,,,,,,,10/10/2024
PSTW-1853,Artificial Intelligence and Mobility - AIAMO,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/aiamo.html,"The main aim of the project is to establish data sovereignty in transport by networking mobility services, simplifying data collection for environmentally oriented and multimodal traffic management. Trusted AI-powered applications will deliver research results through a networked integration zone, with a focus on facilitating market access for SMEs and numerous cities. The project is coordinated by ITS Germany - Federal Association of Economics and Science for Transport Technologies and Intelligent Mobility in Berlin. ITS Germany is also committed to expand its project throughout Europe. That is why a webinar on the ""AIAMO goes Europe"" initiative, whose target are other national ITSs, took place in June 2024.",National,Germany,DE,Federal Ministry for Digital and Transport (BMDV),Consortium,Economic affairs,Transport,Pilot,2023,2026,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/aiamo.html,Planning,Planning and Scheduling,Optimisation,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,22/08/2025
PSTW-1854,Open Mobility Electrical Infrastructure - OMEI,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/omei.html,"The expansion of electromobility requires coordinated planning of charging infrastructure, integration of renewable energy, and efficient management of energy flows across regions. Fragmented data and incompatible systems currently limit optimisation of charging networks and energy use. This use case addresses these challenges by developing an open data and service framework to support planning, operation, and optimisation of fast and bidirectional charging infrastructure across Europe. The project involves public authorities, infrastructure operators, energy providers, and mobility stakeholders, with the objective of enabling a decarbonised and economically viable energy supply for electric mobility. The solution is implemented through a digital platform that collects and integrates charging, user, energy, and traffic data from demonstration sites, including fast-charging stations with hybrid energy storage and bidirectional charging capabilities. Advanced analytics and simulation models are used to optimise operating strategies, economic performance, and vehicle-to-home and vehicle-to-grid concepts, while distributed ledger technology is examined for secure and transparent energy trading and billing. The project supports improved infrastructure planning, better utilisation of renewable energy, and scalable data sharing across borders. It contributes to reduced emissions, more efficient charging operations, and a robust foundation for future European mobility and energy data spaces.",National,Germany,DE,University of Applied Sciences Energy Technology Center (TZE),Consortium,Economic affairs,Transport,Pilot,2022,2025,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2B,x,,,,x,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/omei.html,Planning,Planning and Scheduling,Optimisation,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,19/12/2025
PSTW-1855,National Initiative for AI-based Transformation in the Data Economy - NITD,https://en.acatech.de/allgemein/federal-minister-wissing-launches-national-data-economy-initiative/,"The aim of the National Initiative for AI-based Transformation into the Data Economy is to promote and scale the data economy in Germany and Europe. In doing so, the NITD assumes a networking and implementation-oriented role and thus creates a basis for marketable and common good-oriented AI applications that focus on people. The project focuses on three main areas: (1) The NITD develops technical and organisational foundations for the successful networking of data rooms and implements these in use cases. (2) Harmonized quality and testing standards for AI applications will be designed and made visible and tangible in a quality and innovation center. (3) As part of the project, a funding concept will be designed that builds on existing successful innovation funding and meaningfully complements it with a focus on AI applications.",National,Germany,DE,acatech - German Academy of Engineering Sciences,Consortium,Economic affairs,Economic affairs n.e.c,In development,2023,,Public services and engagement,Data Sharing Management,No,No,Artificial Intelligence,,G2B,x,,x,,,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/nitd.html,Services,AI Services,,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,22/08/2025
PSTW-1856,Automation of Hamburg's on-demand offering with integration into public transport - AHOI project,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/ahoi.html,"The core goal of the AHOI project is to analyse, design and implement previously unresolved tasks relating to the operation of a large and mixed fleet of manually controlled vehicles and vehicles with autonomous driving functions in on-demand operation as well as the development of an associated control center. Particular attention is paid to accessibility along the entire travel chain as well as the application and further development of the newly created legal framework. In addition, key results should be obtained about user structures and patterns as well as the effects on mobility behavior. This is done iteratively in three operational phases: (1) Operating a manually controlled on-demand fleet with passengers; (2) Test integration of vehicles with autonomous driving functions including technical supervision into the operation of the existing on-demand fleet (initially without passengers); (3) Operation of a mixed on-demand fleet with passengers including technical supervision and integration of the data ecosystem.",Local,Germany,DE,"Free and Hanseatic City of Hamburg, Authority for Transport and Mobility Transition (FHH)",Consortium,Economic affairs,Transport,Pilot,2023,2025,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/ahoi.html,Integration and Interaction,Connected and Automated vehicles,AI Services,Optimisation,,,,,National-funded project,,,,,,,22/08/2025
PSTW-1857,Establishment of a U-Space real laboratory in Hamburg - U-Space real laboratory,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/u-space-reallabor.html,"The project served as a lighthouse project for the implementation of European U-space regulation. It showed how drones can be safely and fairly integrated into the airspace as air traffic participants. In a real-world laboratory, which has been specially set up for this purpose, the interaction of individual airspace actors as well as the associated technical, procedural and operational implementation was demonstrated and even the participation of third parties will be enabled. The project served as a model for further implementations of U-Spaces in Germany and Europe.",Across Countries,European Union,EU,Droniq GmbH,Consortium,Public order and safety,R&D public order and safety.,Pilot,2021,2021,"Analysis, monitoring and regulatory research",Innovating Public Policy ,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/u-space-reallabor.html,Integration and Interaction,Connected and Automated vehicles,,,,,,,National-funded project,,,,,,,24/02/2025
PSTW-1858,Trustworthiness platform for AI solutions and data rooms - TrustKI,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/trustki.html,The aim of the project is to create a trustworthiness platform including an index and reputation system with the aim of enabling users to build trust in manufacturing companies as well as in their AI solutions or data rooms in order to actually use them. Manufacturing companies are given the opportunity to document the trustworthiness of their organisation as well as that of their AI solutions and data rooms – and to do so in an industry-specific cooperative manner with the relevant stakeholders of the domain.,National,Germany,DE,"	Institute for Internet Security",Academic-Research,Economic affairs,R&D economic affairs,Pilot,2023,2025,Enforcement,Management of auditing and logging,No,No,Artificial Intelligence,,G2B,x,,,,,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/trustki.html,Services,AI Services,,,,,,,National-funded project,,,,,,,22/08/2025
PSTW-1860,Alpine mobility data room Inntal - ALMODA,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/almoda.html,"Mountain regions face complex mobility challenges due to terrain, weather variability, cross-border traffic, and safety requirements. Local communities in the Alpine Inntal region require accurate, real-time information to support safe, efficient, and sustainable mobility. This use case addresses these needs by establishing a cross-border data space that supports real-time communication, navigation, and surveillance services for mobility users and authorities. The project involves regional administrations, mobility service providers, and infrastructure operators, with the objective of enabling Mobility 4.0 through a shared and trusted digital situation picture. The solution is implemented through a multimodal data platform that aggregates high-precision digital elevation models, static and dynamic geographic protection zones, navigation and communication data, and high-resolution local weather information. Data is authenticated, validated, and combined using advanced analytical methods to create real-time situational awareness, which is then distributed securely to users and systems across borders. The platform supports multiple mobility use cases tailored to local needs, including safety, routing, and traffic management. The project improves reliability and safety of mobility in complex Alpine environments, enhances cross-border coordination, and enables scalable data-driven services. It delivers clear value by supporting informed decision-making, reducing risk, and laying the groundwork for integrated, resilient mobility services in sensitive regions.",Local,Germany,DE,"Oberaudorf Municipality, Municipality of Kiefersfelden",Consortium,Economic affairs,Transport,Pilot,2021,2024,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/almoda.html,Planning,Planning and Scheduling,Optimisation,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,19/12/2025
PSTW-1862,Digital test field Air Cargo - DTAC,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/air-cargo.html,"The goal of the DTAC is to increase the efficiency and performance of the air freight transport chain through increased networking and digitalisation of processes. Specifically, the aim is to improve the exchange of data between stakeholders in the air freight transport chain, as well as to automate and autonomize dispatching, handling and transport, as well as the development of AI-supported optimization and forecasts. The plan is to develop and test solutions for air freight in a neutral, cross-site manner together with the respective stakeholders.",National,Germany,DE,Fraunhofer Institute for Material Flow and Logistics IML,Consortium,Economic affairs,Transport,Pilot,2021,2024,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2B,x,,,,,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/air-cargo.html,Planning,Planning and Scheduling,Optimisation,,,,,,National-funded project,,,,,,,24/02/2025
PSTW-1863,AI and discrete loading optimization models to increase utilization in KV - KiBa,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/kiba.html,"The aim of the project is to solve this assignment problem in terms of IT technology and to optimize it with the help of suitable calculation methods and methods from the field of artificial intelligence (AI). The aim is to ensure that every request for loading a loading unit receives a proposal for an optimal placement of the loading unit on a wagon set within the shortest possible time. However, this decision must be made before all the information is available about what other loading units for the same start/destination routes will arrive at the CT terminal over time.",National,Germany,DE,Kombiverkehr German Society for Combined Freight Transport mbH & Co. KG,Consortium,Economic affairs,Transport,Pilot,2022,2025,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2B,x,,,,,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/kiba.html,Planning,Planning and Scheduling,Optimisation,,,,,,National-funded project,,,,,,,02/05/2024
PSTW-1866,Networked LiDAR bus for safe autonomous use in shared spaces - LiDARshared,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/lidarshared.html,"The main aim of the project is to collect valuable urban traffic data using buses equipped with high-performance LiDAR sensors, particularly in busy city centers and main arteries. This data is crucial for smart city applications, providing insights for optimizing traffic flow and enhancing urban traffic beyond public transport, including adjustments to traffic light phases, speed limits, one-way rules, and identifying areas of risk for cyclists or pedestrians. The project involves collaboration with stakeholders in Kiel to gather necessary data for urban traffic optimization.",Across Countries,Germany,DE,Blickfeld GmbH,Consortium,Public order and safety,Public order and safety n.e.c.,Pilot,2020,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/lidarshared.html,Perception,Computer vision,Automated reasoning,Planning and Scheduling,,,,,National-funded project,,,,,,,11/02/2025
PSTW-1867,Feasibility study for the harmonization of truck parking space occupancy through networked model-predictive control systems based on V2X technologies - PAHA,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/paha.html,"The fuel and rest areas (T+R facilities) on highly frequented federal highways are characterized by overcrowding, especially in the evening and at night, despite extensive investments in additional infrastructure. On the basis of different reference scenarios and an interface analysis, a forecast model was developed using the derived available input variables, which predicts the expected occupancy rate of a T+R facility in terms of time and space in order to determine optimal rest areas for each vehicle. In addition, approaches were developed for a control system for improved utilization of free parking capacities, which provides an individual recommendation of the best possible rest area with regard to static and dynamic input variables as a starting point. In addition, it was possible to determine requirements for existing systems with large-scale infrastructure for occupancy detection in order to enable these systems to be expanded with the developed forecasting and control methods as well as existing V2X technologies.",National,Germany,DE,"Erfurt University of Applied Sciences, Faculty of Economics, Logistics, Transport",Academic-Research,Economic affairs,Transport,Pilot,2020,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/paha.html,Planning,Planning and Scheduling,Optimisation,,,,Universities/Research organisations,,National-funded project,,,,,,,24/02/2025
PSTW-1869,Smart Urban Logistics through Electrification Collaboration and Automation - SULEICA,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/suleica.html,"Electrification and automation – these are the keywords of the current mobility change. They offer the potential to completely rethink the transport processes of tomorrow. To make this a success, SULEICA designed, implemented and validated an approach for emission-free, traffic-reducing and efficient urban logistics to create liveable urban spaces. In addition to carrying out pilot operations with (partially) automated logistics vehicles that can communicate and interact with people, the focus was on integrating the system into the urban transport infrastructure and involving citizens. Key project results are a road-approved test vehicle (Ducktrain) and the integration of findings from pilot operations into the next generation of vehicles, as well as a roadmap for future vehicle registration, taking into account increasing automation. Furthermore, it could be shown that the Duck offers a lot of potential for the urban traffic flow as well as the users, i.e. logistics companies, who can improve their logistics processes ecologically and ecologically. In acceptance studies, it could be shown that the Ducks are perceived positively for urban traffic and it could be determined which factors, e.g. in the use of the infrastructure or the length of the Ducktrain, influence the perception. The results of the SULEICA project form an excellent starting point for the more in-depth research of individual aspects.",National,Germany,DE,DroidDrive GmbH,Consortium,Economic affairs,Transport,Pilot,2020,2022,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/suleica.html,Integration and Interaction,Connected and Automated vehicles,AI Services,,,,Private corporation,,National-funded project,,,,,,,24/02/2025
PSTW-1870,Autonomous shuttles & Co in the digital test field for city traffic - Shuttles &Co,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/shuttles-und-co.html,"The testing of highly automated fleet vehicles showed the limits of the available technology, but provided valuable experience on the requirements for future regular operation. The methods for perception and prediction impressively demonstrated the positive effect of cooperation between vehicles, such as improved localization and increased road safety. Further developed cooperative methods of traffic control and traffic information based on vehicle-2-everything (V2X) communication and the advantages of V2X technology could be demonstrated to the stakeholders in the state of Berlin. In the process, new data and exchange platforms were integrated. With the recognition and updating of map objects, the self-updating of the map provided by the Berlin administration could be further developed.
",Local,Germany,DE30,"State of Berlin, represented by the Senate Department for the Environment, Transport and Climate Protection",Local Government,Public order and safety,R&D public order and safety.,Pilot,2020,2022,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/shuttles-und-co.html,Integration and Interaction,Robotics and Automation,Connected and Automated vehicles,,,unmanned vehicle ,,,National-funded project,,,,,,,24/02/2025
PSTW-1871,AI and M2M -based optimization of safety and comfort for people with mobility restrictions in non-motorized individual transport in the ERFURTS location,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/kimono-ef.html,"The creation of a barrier-free mobility infrastructure supports the development of an inclusive society that ensures mobility for all people. The situation for people with mobility restrictions, especially for people with disabilities in the transport system, is often not optimal. There is a high potential for conflicts or, in the worst case, accidents when encounters with (motorized) private and public transport (ÖV). Particularly relevant here is pedestrian traffic at junctions controlled by traffic lights (LSA) and the transition from pedestrian traffic to public (local) transport at stops. The aim of the project was to increase road safety and comfort for people with limited mobility at traffic control intersections and at the transitions from non-motorized private transport to public transport. This is to be achieved through automatic detection, the automatic intelligent adjustment of LSA controls and the information of drivers on roads and public transport. In the future, this information can also be transmitted to fully automated vehicles via appropriate vehicle-to-everything ( V2X ) interfaces. On the one hand, the project contributed to an inclusive society and at the same time advanced the development of a networked and automated transport system.",National,Germany,DE,Erfurt University of Applied Sciences,Academic-Research,Public order and safety,R&D public order and safety.,Pilot,2022,2024,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,x,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/kimono-ef.html,Perception,Computer vision,Connected and Automated vehicles,Multiple AI techniques,,image processing,,,National-funded project,,,,,,,24/02/2025
PSTW-1873,Smart control center for automated transport robots and buses in the city of Lauenburg/Elbe - TaBuLa-LOGplus,https://www.tuhh.de/vpl/forschung/logistik-und-nachhaltigkeit/tabula-log-plus,"The aim of the project was to implement a prototypical control centre as a basis for the efficient use of combined passenger and goods transport. This was done on the basis of the test track already implemented in the TaBuLa and TaBu-La-LOG projects, self-developed transport robots and a conventional regular-service bus. In addition, AI-based methods were used to optimize coordination and networking. Furthermore, the degree of automation of transport robots increased by technical developments.",Local,Germany,DE,"Hamburg University of Technology, Hamburg",Academic-Research,Economic affairs,Transport,Pilot,2022,2024,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2C,x,,,,,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/tabula-log-plus.html,Integration and Interaction,Connected and Automated vehicles,,,,,,,National-funded project,,,,,,,24/02/2025
PSTW-1874,Shuttle model region Upper Franconia II - SMO-II,https://www.bmv.de/SharedDocs/DE/Artikel/StV/AVF-projekte/smo-2.html,"Public transport providers in rural and semi-rural regions face growing pressure to offer flexible, reliable, and cost-efficient mobility services despite low passenger density and challenging operating conditions. In Upper Franconia, authorities and operators sought to modernise shuttle services by reducing dependence on onboard staff, improving passenger assistance, and enabling safe operation even in difficult weather, while complying with national regulations on autonomous driving. This use case focuses on the SMO-II project, involving regional transport authorities, operators, and control centres, with the objective of holistically automating the mobility chain and enabling demand-responsive shuttle services. The solution is implemented through a highly automated transport system that integrates vehicle automation, sensor technology, passenger assistance systems, and remote operations. Shuttles are designed to operate at Level 4 autonomy in defined environments, with real-time monitoring and manoeuvre release managed from an existing control centre. Digital systems cover vehicle interiors, door areas, and passenger support functions, while advanced perception and control technologies enable safe operation without accompanying personnel. The project improves operational efficiency by reducing staffing requirements, increases service availability through on-demand operation, and enhances safety and reliability under varied conditions. It supports scalable deployment of autonomous shuttles in non-urban regions and contributes to more inclusive, sustainable public transport offerings.",National,Germany,DE,Valeo Switches and Sensors GmbH ,Consortium,Economic affairs,Transport,Pilot,2022,2024,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2C,x,,,,,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/lidarshared.html,Integration and Interaction,Connected and Automated vehicles,,,,,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,19/12/2025
PSTW-1875,AI-based system for connected mobility - KIS'M,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/kis-m.html,"The state of Berlin is faced with the challenge of offering affordable and reliable local public transport (ÖPNV) even in rapidly growing residential areas. To solve the problem, KIS'M pursues a number of goals. This includes the experimental implementation of driverless on-demand transport, the development of safe and reliable processes for technical supervision, at virtual stops and in vehicles. With better networking and cooperation between automated vehicles as well as with traffic control, a higher level of traffic safety is to be achieved even in a mixed system, especially through realistic autonomous driving maneuvers. Artificial intelligence is to be used to derive more up-to-date and accurate map and traffic information from the data recorded in traffic. In addition, KIS'M intends to use the experience gained to derive a strategy for the further use of driverless vehicles in the state of Berlin.",Local,Germany,DE30,"State of Berlin, represented by the Senate Department for the Environment, Mobility, Consumer and Climate Protection",Local Government,Economic affairs,Transport,Pilot,2022,2025,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/AVF-projekte/kis-m.html,Integration and Interaction,Connected and Automated vehicles,Optimisation,,,,,,National-funded project,,,,,,,24/02/2025
PSTW-1876,AI -supported data analysis and simulation of rescue services - AI-Rescue,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/ai-rescue.html,"The rescue service in Germany is very heterogeneous; in terms of the degree of digitalisation, it fell significantly behind in comparison to other European countries in recent years. The optimal functioning of the rescue chain depends on many dynamic and static influencing factors. The focus of the feasibility study was the development of a simulation as a demonstrator for the use of AI in rescue services. A spatial reference was established: real data about the frequency and duration of missions was collected, evaluated, and used to parameterize the model. The simulation model then replicated operational decisions using AI strategies.",National,Germany,DE,Kelheim district,Academic-Research,Public order and safety,Public order and safety n.e.c.,Pilot,2021,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/ai-rescue.html,Planning,Planning and Scheduling,Optimisation,Automated reasoning,,,Universities/Research organisations,,National-funded project,,,,,,,24/02/2025
PSTW-1877,Weather-independent and highly automated ridesharing service in Kelheim (Germany),https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/kelride.html,"The aim of the KelRide project is a highly automated ride-sharing service in the Kelheim district using artificial intelligence. A mixed fleet of highly automated and conventional shuttles integrated into public transport will transport passengers in the operating area. The main development goal of this project is a powerful overall system that functions to a significantly improved extent in ""bad weather"" conditions and thus allows year-round real operation in German weather conditions for the first time. The desired real operation should serve as a blueprint for corresponding services in other municipalities.",Local,Germany,DE,EasyMile GmbH,Consortium,Economic affairs,Transport,Pilot,2021,2023,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/kelride.html,Integration and Interaction,Connected and Automated vehicles,AI Services,,,unmanned vehicle ,Private corporation,,National-funded project,,,,,,,24/02/2025
PSTW-1878,Adaptive maps and AI -based infrastructure monitoring - AK-KII,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/ak-kii.html,"Highly automated mobility is impossible without the use of highly accurate maps. A vehicle can only be moved safely, efficiently and sustainably if it has accurate and up-to-date information about the infrastructure to be traveled, usually a road, depending on time and place. An important aspect here is the condition of the infrastructure, its automated monitoring and the reflection of the monitoring results in a reasonable time, for example in different levels of such highly accurate maps. The aim of this preliminary study is to form an interdisciplinary consortium for AI-based infrastructure monitoring for highly automated mobility. As part of the preliminary study, the relevant state of the art is first analysed and it is determined which sensor technologies can be used to derive information about the infrastructure, and which processes already exist and can be networked for this purpose. In addition, scenarios and research questions are defined for specific topics such as the condition recording of bridges, sensor data fusion for different types of roads, as well as evaluation criteria for relevant data or the automated documentation of AI decision-making processes.",National,Germany,DE,"FORWISS, University of Passau",Academic-Research,Economic affairs,Transport,Pilot,2021,2021,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/KI-Projekte/ak-kii.html,Perception,Computer vision,,,,,,,National-funded project,,,,,,,24/02/2025
